chapter_id,note_kind,status,count
toc-visual-390-1-preambule,footnote,orphan_anchor,1
toc-visual-390-10-cet-homme-n-est-pas-alie,footnote,orphan_anchor,4
toc-visual-390-12-la-monomanie-orgueilleus,footnote,orphan_anchor,4
toc-visual-390-13-le-maitre-de-l-univers,footnote,orphan_anchor,8
toc-visual-390-14-l-usurpateur,footnote,ambiguous,1
toc-visual-390-16-theroigne-de-mericourt-o,footnote,orphan_anchor,2
toc-visual-390-17-1830-ou-la-maladie-de-la,footnote,orphan_anchor,1
toc-visual-390-18-1848-ou-la-peste-democra,footnote,orphan_anchor,7
toc-visual-390-19-l-asile-de-la-misere,footnote,orphan_anchor,3
toc-visual-390-3-une-invention-utile-dans,footnote,orphan_anchor,3
toc-visual-390-4-un-medecin-au-chevet-du,footnote,ambiguous,1
toc-visual-390-4-un-medecin-au-chevet-du,footnote,orphan_anchor,3
toc-visual-390-5-les-evenements-de-la-rev,footnote,ambiguous,2
toc-visual-390-5-les-evenements-de-la-rev,footnote,orphan_anchor,1
toc-visual-390-6-spectres-de-la-guillotin,footnote,orphan_anchor,7
toc-visual-390-8-maisons-de-sante-maisons,footnote,orphan_anchor,2
toc-visual-390-9-dissidence-ou-demence,footnote,orphan_anchor,1
toc-visual-391-21-jeanne-d-arc-et-les-pano,footnote,orphan_anchor,1
toc-visual-391-22-des-chacals-des-pies-des,footnote,orphan_anchor,2
toc-visual-391-23-les-begaiements-de-l-his,footnote,ambiguous,1
toc-visual-391-23-les-begaiements-de-l-his,footnote,orphan_anchor,2
